0000 language_model.embed_tokens Embedding in=[([1, 3116], 'torch.int64', 'cpu')] out=([1, 3116, 2048], 'torch.float32', 'cpu')
0160 visual.blocks.20.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0161 visual.blocks.20.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0162 visual.blocks.20.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0163 visual.blocks.21.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0164 visual.blocks.21.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0165 visual.blocks.21.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0166 visual.blocks.21.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0167 visual.blocks.21.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0168 visual.blocks.21.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0169 visual.blocks.21.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0170 visual.blocks.22.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0171 visual.blocks.22.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0172 visual.blocks.22.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0173 visual.blocks.22.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0174 visual.blocks.22.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0175 visual.blocks.22.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0176 visual.blocks.22.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0177 visual.blocks.23.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0178 visual.blocks.23.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0179 visual.blocks.23.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0180 visual.blocks.23.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0181 visual.blocks.23.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0182 visual.blocks.23.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0183 visual.blocks.23.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
